"mint","description","metalName","regNumber","PRN","lat","long","imageUrl"
"Aetna","Coin; Aetna; reverse","Copper alloy","1947,0606.90","CGR33057",37.566667,14.9,"http://www.britishmuseum.org/collectionimages/AN01544/AN01544512_001_l.jpg"
"Aetna","Coin; Aetna; obverse (head)","Copper alloy","1946,0101.783","CGR33056",37.566667,14.9,"http://www.britishmuseum.org/collectionimages/AN01544/AN01544511_001_l.jpg"
"Akragas","Coin; Akragas; reverse (crab)","Silver","RPK,p222B.3.Agr","CGR33154",37.316667,13.583333,"http://www.britishmuseum.org/collectionimages/AN01058/AN01058174_001_l.jpg?width=1500"
"Akragas","Coin; Akragas; obverse (eagle)","Silver","RPK,p222B.2.Agr","CGR33145",37.316667,13.583333,"http://www.britishmuseum.org/collectionimages/AN01544/AN01544600_001_l.jpg"
"Camarina","Coin; Camarina; reverse (head)","Silver","1942,0403.2","CGR33476",36.872287,14.447788,"http://www.britishmuseum.org/collectionimages/AN16129/AN1612990333_l.jpg"
"Camarina","Coin; Camarina; obverse (quadriga)","Silver","RPK,p227a.2","CGR33469",36.872287,14.447788,"http://www.britishmuseum.org/collectionimages/AN16129/AN1612990326_l.jpg"
"Catana","Coin; Catana; obverse (quadriga)","Silver","1946,0101.891","CGR33551",37.502959,15.088142,"http://www.britishmuseum.org/collectionimages/AN16129/AN1612990426_l.jpg?width=304"
"Catana","Coin; Catana; reverse (head)","Silver","1946,0101.893","CGR33550",37.502959,15.088142,"http://www.britishmuseum.org/collectionimages/AN16129/AN1612990425_l.jpg?width=304"
"Enna","Coin; Enna; obverse (head)","Copper alloy","1946,0101.933","CGR33739",37.567652,14.279558,"http://www.britishmuseum.org/collectionimages/AN16129/AN1612990610_l.jpg?width=304"
"Enna","Coin; Enna; reverse (animal)","Copper alloy","RPK,p234.3","CGR33740",37.567652,14.279558,"http://www.britishmuseum.org/collectionimages/AN16129/AN1612990611_l.jpg?width=304"
"Entella","Coin; Entella; obverse","Copper alloy","BMC Entella 4","CGR33757",37.728871,13.184128,"http://www.britishmuseum.org/collectionimages/AN16129/AN1612936051_l.jpg?width=304"
"Entella","Coin; Entella; reverse","Copper alloy","RPK,p231C.1","CGR33758",37.728871,13.184128,"http://www.britishmuseum.org/collectionimages/AN16129/AN1612990630_l.jpg?width=304"
"Eryx","Coin; Eryx; obverse (dog)","Silver","1946,0101.941","CGR33801",38.036517,12.583607,"http://www.britishmuseum.org/collectionimages/AN16129/AN1612989644_l.jpg?width=304"
